trial,shape_path,context_1_path,context_2_path,trial_variant,response,rt,fixation_onset_ttl,context1_onset_ttl,shape_onset_ttl,reddot_onset_ttl,context2_onset_ttl,shape2_onset_ttl,reddot2_onset_ttl,question_onset_ttl,response_ttl
24,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/basketball.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/sportsfield1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/kitchen1.png,primary_first_img1,KITCHEN,0.6585,1777483519.451535940,1777483521.267741919,1777483522.297270060,1777483523.304730177,1777483525.316517115,1777483526.352804184,1777483527.362536907,1777483529.397533894,1777483530.060069084
25,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/toothbrush.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/garden1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/bathroom1.png,secondary_first_img1,BATHROOM,2.4616,1777483530.568005085,1777483532.605844975,1777483533.649014950,1777483534.668506145,1777483536.677473068,1777483537.711477041,1777483538.760299921,1777483540.798009157,1777483543.260173082
26,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/teacup.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/office.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/kitchen.png,secondary_first_img0,KITCHEN,0.1918,1777483543.765526056,1777483544.397500992,1777483545.403090954,1777483546.414556980,1777483548.427325964,1777483549.465967178,1777483550.475623846,1777483552.506529093,1777483552.698880911
27,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/rugby.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/sportsfield.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/garden.png,primary_first_img0,GARDEN,1.2256,1777483553.204679966,1777483553.826366901,1777483554.831609011,1777483555.842838049,1777483557.862953901,1777483558.905978203,1777483559.915814877,1777483561.950827122,1777483563.176908970
28,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/bug.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/garden.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/sky.png,primary_first_img0,SKY,2.9342,1777483563.683948994,1777483567.673445225,1777483568.720527887,1777483569.725936890,1777483571.736271858,1777483572.774234056,1777483573.785110950,1777483575.862872124,1777483578.800423861
29,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/pan.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/sportsfield.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/kitchen.png,secondary_first_img0,SPORTSFIELD,1.7220,1777483579.307535887,1777483581.035609007,1777483582.050997019,1777483583.062339067,1777483585.073313951,1777483586.104885101,1777483587.112986088,1777483589.212126017,1777483590.935019970
30,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/mosquito.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/garden.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/office.png,primary_first_img0,OFFICE,0.3887,1777483591.440943003,1777483592.068386078,1777483593.075273037,1777483594.085978031,1777483596.094357014,1777483597.119643927,1777483598.129221916,1777483600.158010960,1777483600.547130108
31,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/birdcage.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/petshop1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/sportsfield1.png,primary_first_img1,SPORTSFIELD,1.0912,1777483601.053680897,1777483601.753177166,1777483602.758023024,1777483603.767654896,1777483605.779459000,1777483606.810434103,1777483607.821003914,1777483609.854569912,1777483610.946604013
32,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/tape.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/office1.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/sportsfield1.png,primary_first_img1,OFFICE,1.4565,1777483611.457550049,1777483612.124805927,1777483613.129774094,1777483614.136046171,1777483616.147747993,1777483617.193571091,1777483618.201117039,1777483620.237160921,1777483621.694329023
33,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Shapes/bird'sfoot.bmp,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/petshop.png,/Users/mehtaka/Desktop/Columbia/Nuttida_Lab/Utah/ContextCategorizationTask/STIMULI/Contexts/kitchen.png,primary_first_img0,KITCHEN,1.2003,1777483627.842426062,1777483628.584928036,1777483629.590864897,1777483630.602248907,1777483632.611792803,1777483633.658522844,1777483634.676847219,1777483636.725774050,1777483637.926896095
